dataset,variant,oracle_winner_share
atlas,variant_1,0.0
atlas,variant_2,7.5e-05
atlas,variant_3,5e-05
atlas,variant_4,0.999875
helios,variant_1,0.24335333333333334
helios,variant_2,0.24370666666666665
helios,variant_3,0.29180666666666666
helios,variant_4,0.22113333333333332
meadow,variant_1,0.27728
meadow,variant_2,0.2184
meadow,variant_3,0.28579333333333334
meadow,variant_4,0.21852666666666667
rotation,variant_01,0.13261666666666666
rotation,variant_02,0.1304
rotation,variant_03,0.11630833333333333
rotation,variant_04,0.135475
rotation,variant_05,0.15475833333333333
rotation,variant_06,0.11246666666666667
rotation,variant_07,0.038858333333333335
rotation,variant_08,0.08995
rotation,variant_09,0.055558333333333335
rotation,variant_10,0.03360833333333333
vega,variant_1,0.2655
vega,variant_2,0.2861666666666667
vega,variant_3,0.23133333333333334
vega,variant_4,0.217
zephyr,variant_1,0.249885
zephyr,variant_2,0.30234
zephyr,variant_3,0.22205
zephyr,variant_4,0.225725
